url,Number of Dots,Subdomain Level,Path Level,URL length,Number of dash symbol,Number of AtSymbol,Number of Tilde Symbol,Number of Underscores,Number of dollar symbol,Number of colon symbol,Number of Percent symbols,Query count,Numerical character count,presence of HTTPS,IP in hostname,suffix(tld) in subdomain,HTTPS in Hostname,Hostname length,query length,Double Slash in Path,Avg wordlength in Hostname,Atsymbols in Hostname,Numerical Characters in Hostname,Number of SensitiveWords in URL,url entropy,Number of SensitiveWords in HTML,Number of Hyperlinks,External Hyperlinks percent,External ResourceURLs percent,Ext Favicon,Insecure Forms,RelativeFormAction,external formaction,Percentage of NullSelfRedirectHyperlinks,Fake Link In StatusBar,popup window,Right Click Disabled,Title is missing,Iframe Or Frame present,src_eval_cnt,src_escape_cnt,src_exec_cnt,src_search_cnt,Most Common Link Domain in External,Common Resource Domain in External,Ratio of Common Domain in Webpage,Ratio of Common Domain in Footer,Ratio of Null Links,Ratio of Null Links in Footer,Ratio of Null links present in body-tag,label
http://www.flectrachile.cl/maxx/GlobalSources/,2,1,3,46,0,0,0,0,0,1,0,0,0,1,0,0,0,19,0,0,5.666666667,0,0,0,4.214022153,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://www.citi.com.stylercargo.com.pe/,5,3,1,40,0,0,0,0,0,1,0,0,0,0,0,1,0,31,0,0,4.333333333,0,0,0,3.97507052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1
https://bafybeigfju7imleymbdjr3rcfklqhxkcrimvk57znd5lm5yotvdxymqn6q.ipfs.dweb.link/customindex.html,4,2,1,99,0,0,0,0,0,1,0,0,7,0,0,0,0,74,0,0,17.75,0,7,0,4.851283076,0,3,66.66666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.333333333,0,0,0,1,1
https://steamncommunitiy.ru/proflies/764114387834196,1,0,2,52,0,0,0,0,0,1,0,0,15,0,0,0,0,19,0,0,9,0,0,0,4.550931304,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://www.sicilyboatrental.com/okinjlika/lijankil/ytrejza.php,3,1,3,62,0,0,0,0,0,1,0,0,0,1,0,0,0,24,0,0,7.333333333,0,0,0,4.256897126,1,2,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0.5,0,0,0,1,1
https://solitary-truth-9630.on-stg.fleek.co/,3,2,1,44,3,0,0,0,0,1,0,0,4,0,0,0,0,35,0,0,8,0,4,0,4.384790425,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://kwandaresource.com/PENDING/webmail-RD127/index.html,2,0,3,59,1,0,0,0,0,1,0,0,3,0,0,0,0,18,0,0,8.5,0,0,0,4.867824355,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
http://colba.wallst.ru/,2,1,1,23,0,0,0,0,0,1,0,0,0,1,0,0,0,15,0,0,4.333333333,0,0,0,3.729446195,1,7,100,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.285714286,0,0,0,1,1
https://consultarviaportal-online1.net/hiper/home.php?userID=&uri=pA2kuhrKUnOamEu1faEAFLuk4Beuz0LDZ94i1CfyQkY=,2,0,2,110,1,0,0,0,0,1,0,2,8,0,0,0,0,30,56,0,14.5,0,1,0,5.144964719,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
https://ltaufaturahlperoficial.com/,1,0,1,35,0,0,0,0,0,1,0,0,0,0,0,0,0,26,0,0,12.5,0,0,0,3.943289445,0,0,0,0,1,1,1,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,1,1,1,1
